,TARGETID,Redrock z,Redrock spectype,best z,best spectype,best flag,N_VI,all VI issue,all VI comments,merger comment,DELTACHI2,ZWARN,ZERR,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z
1343,3.51913E+16,0.2902,GALAXY,0.2902,GALAXY,4,3,--|--|--,--|--|--,none,282.3946921,0,1.93E-05,430,5.7447057,14.126664,25.179834,1.14514,2.8159857,5.0193067,0.92939144,0.9518711,0.97278666
1344,3.51913E+16,0.5688,GALAXY,0.5688,GALAXY,4,3,--|--|--,--|--|LRG,none,304.2870547,0,8.15E-05,927,1.8068798,6.5900187,18.775368,0.5904575,2.1535058,6.13547,0.9340967,0.9551146,0.9746394
1345,3.51913E+16,0.2071,GALAXY,0.2071,GALAXY,4,3,--|--|--,--|--| LRG,none,2466.952319,0,3.69E-05,265,16.887764,56.872143,114.71248,5.110339,17.209852,34.71269,0.943242,0.9614036,0.9782239
1346,3.51913E+16,0.5208,GALAXY,0.5208,GALAXY,4,3,--|--|--,--|--|--,none,811.9373808,0,3.20E-05,269,2.460359,7.5552454,16.521164,1.1350238,3.4854195,7.621617,0.9444807,0.9622539,0.97870773
1347,3.51913E+16,0.3252,GALAXY,0.3252,GALAXY,4,3,--|--|--,--|--|--,none,507.5313958,0,2.29E-05,293,3.6441417,9.5908575,17.080057,0.70858586,1.864896,3.321135,0.948027,0.9646862,0.9800908
1348,3.51913E+16,0.2739,GALAXY,0.2739,GALAXY,3,3,--|--|--,--|--| Weak emission lines,none,85.61983836,0,5.16E-05,278,2.7940845,10.247593,20.445478,0.9831011,3.6056247,7.19376,0.9500676,0.9660845,0.9808851
1349,3.51913E+16,0.2208,GALAXY,0.2208,GALAXY,4,3,--|--|--,--|--|--,none,973.7884386,0,8.32E-06,273,6.9989934,12.974189,18.650782,1.1921217,2.2098627,3.176743,0.9441547,0.9620302,0.9785805
1350,3.51913E+16,0.1272,GALAXY,0.1272,GALAXY,4,3,--|--|--,--|--|--,none,1543.519874,0,5.14E-06,282,6.349308,11.203887,16.356112,3.3028064,5.828079,8.508183,0.9453517,0.9628516,0.9790477
1351,3.51913E+16,0.2257,GALAXY,0.2257,GALAXY,4,3,--|--|--,--|--|--,none,1901.461133,0,6.28E-06,284,5.3282413,9.456516,12.792048,1.589815,2.82159,3.81683,0.9533812,0.96835285,0.9821727
1352,3.51913E+16,0.2087,GALAXY,0.2087,GALAXY,4,3,--|--|--,--|--|--,none,1555.677791,0,8.48E-06,421,3.2173026,6.3648725,9.715478,1.3400984,2.6511512,4.046774,0.9514756,0.96704865,0.9814326
1353,3.51913E+16,0.3557,GALAXY,0.3557,GALAXY,4,3,--|--|--,--|--|--,none,2284.57515,0,1.26E-05,259,5.217794,15.093876,28.180609,1.7868536,5.168956,9.6505575,0.94434494,0.9621607,0.97865474
1354,3.51913E+16,0.1267,GALAXY,0.1267,GALAXY,4,3,--|--|--,--| Probable AGN - broad Halpha - not present in SDSS spectrum!|--,none,7541.466742,0,1.49E-05,142,77.44928,190.35895,378.2487,9.775248,24.026123,47.740597,0.94300956,0.961244,0.9781331
1355,3.51913E+16,0.3996,QSO,0.3996,QSO,4,2,--|--, Probable AGN - broad Halpha and strong OIII|--,disagreement in spectype. broadnened lines so set to QSO,3715.823208,0,1.83E-05,297,3.9517322,9.7076,18.721977,1.85517,4.557305,8.789171,0.94630617,0.96350634,0.97942007
1356,3.51913E+16,0.1263,GALAXY,0.1263,GALAXY,4,3,--|--|--,--| LRG|--,none,18408.64562,0,1.21E-05,147,88.50974,212.91219,376.03903,26.73821,64.31937,113.598915,0.94229215,0.96075135,0.97785264
1357,3.51913E+16,0.1251,GALAXY,0.1251,GALAXY,4,3,--|--|--,--|--|--,none,1346.271272,0,1.05E-05,108,8.504574,19.312828,34.45904,3.150537,7.154478,12.765425,0.9410799,0.9599186,0.9773784
1358,3.51913E+16,0.1584,GALAXY,0.1584,GALAXY,4,3,--|--|--,--|--|--,none,718.7010248,0,1.87E-05,439,6.5260744,16.114193,32.51974,1.7855287,4.40883,8.897375,0.9395098,0.9588395,0.9767637
1359,3.51913E+16,0.1247,GALAXY,0.1247,GALAXY,4,3,--|--|--,--|--|--,none,4121.834405,0,2.72E-06,109,7.3618574,9.940439,11.246646,2.2561395,3.0463803,3.4466848,0.93924093,0.95865464,0.97665834
