,TargetID,Redrock z,Redrock spectype,best redshift,best spectype,vi_combined_flag,N_VI,DELTACHI2,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z,TARGET_RA,TARGET_DEC
1253,35191347765840710,0.0998,GALAXY,0.0998,GALAXY,4.0,3,2274.580020286376,3423,47.251366,105.54963000000001,190.18478000000002,7.7085853,17.219362,31.026737,0.96199447,0.9742374,0.9855068000000001,180.2219893087429,59.116211359193116
1254,35191347765840816,0.8989,GALAXY,0.8989,GALAXY,1.0,3,2.187756314873696,3511,4.9741635,10.158582000000001,16.489971,0.10919743,0.22301055,0.36200303,0.9649085999999999,0.97622436,0.98663056,180.40696705845082,59.12392440147054
1255,35191347770032138,0.5002,GALAXY,0.5002,GALAXY,4.0,3,931.0346306562424,3953,3.970135,11.789572999999999,28.059383,1.2853629999999998,3.8169684,9.08445,0.9526886,0.96787894,0.98190385,180.96083431283702,58.87526142842032
1256,35191347770032497,0.1278,GALAXY,0.1278,GALAXY,4.0,3,2124.6883205473428,3984,35.387722,92.04838000000001,200.20193,5.290727599999999,13.761918,29.931679,0.95621693,0.9702921,0.98327243,180.83589513190253,58.91203820731411
1257,35191347770032500,0.3891,GALAXY,0.3891,GALAXY,4.0,3,2996.569797335193,3968,2.919066,10.895242999999999,22.895232999999998,1.04688,3.907418,8.211038,0.9512401,0.9668874,0.98134106,180.9469794999691,58.90955867318223
1258,35191347770032624,0.1277,GALAXY,0.1277,GALAXY,4.0,3,1602.8222938179972,3981,3.8167946,8.175075,15.449341,1.6147299,3.45854,6.5359845000000005,0.96203524,0.9742652,0.9855225000000001,180.4839431075024,58.92224399574464
1259,35191347770032646,0.1774,GALAXY,0.1774,GALAXY,4.0,3,20981.83043289185,3982,4.364195,7.1932554,7.072478,1.9463834,3.2081134,3.1542478,0.9519813,0.9673948,0.9816290999999999,180.89219849580303,58.924233137157096
1260,35191347770032748,0.5173,GALAXY,0.124,QSO,1.0,3,28.63503082096577,3983,4.526299,7.890364599999999,10.172825999999999,0.62647235,1.0920832,1.4079921999999998,0.9636059000000001,0.9753364,0.98612845,180.5322708839983,58.93381162398438
1261,35191347770033243,0.3037,GALAXY,0.3037,GALAXY,4.0,3,1436.6613443382087,3995,7.3691554,25.634872,53.19270699999999,2.1191013,7.371658,15.296289000000002,0.96466404,0.9760576999999999,0.9865363000000001,180.60833606830315,58.9722894946399
1262,35191347770033311,0.0551,GALAXY,0.0551,GALAXY,4.0,3,6026.992773990147,3973,10.109472,13.261,15.382966,2.6829066000000004,3.5192761,4.082415,0.9619614,0.9742148000000002,0.9854940000000001,180.7274738596832,58.976737127195705
1263,35191347770033413,0.3629,GALAXY,0.3629,GALAXY,4.0,2,986.1143177896738,3966,4.641731299999999,21.683908,50.240017,1.1817356,5.5204935,12.790577,0.96388924,0.97552955,0.9862377,180.68431812836053,58.98479433746696
